userName,score,at,content,ai_complaint_category
Anmol Gaikwad,1,2026-06-03 13:34:49,Worst app for chart....please fix It shows loading data...and error loading chart in 5 minutes when we are selling/buying NFO position and we don't have time...this problem create at every time. very very bad app ...,CHARTING_UI_GLITCH
Kunal Guha,1,2026-06-03 10:01:05,"On the portfolio screen, my invested amount for each stock eclipses the current value... the numbers look jumbled up and I can't read them at all. Been waiting for a release when you guys would fix this... it's annoying and something the FE team should've handled. QA snoozing on the job? I'm using a OnePlus 13 device. Please request you to prioritise this in the next app update.",CHARTING_UI_GLITCH
achyutha krishna,1,2026-06-02 19:08:33,chart is not opening when we get profits. you people don't want retailers to see chart and earn money. You are doing scams like groww app. Brokerage is costly. You are having our data of trading. because every day we get profits and your team call us in different numbers asking are you trading? Don't do scams with retailers. One day Zerodha will become bankrupt if we trap you. Mind ur own business Zerodha,CHARTING_UI_GLITCH
Farheen Fatma,1,2026-06-02 13:13:53,"very bad so many time technical glitches, error somtine in chart RSI not show and right now stock chart not show... please fix it as soon as possible..",CHARTING_UI_GLITCH
Gx Soul,1,2026-06-02 11:37:52,works slow and many times the alert does not give notification,CHARTING_UI_GLITCH
kashin arora,1,2026-06-02 10:19:20,Live chart is not showing last 3 days kindly check and resolve,CHARTING_UI_GLITCH
RANJITHKUMAR,1,2026-06-02 03:50:40,now use this app than anything chart 📈📉📈📉 not opening than app is very slow 😔😔😔😔,CHARTING_UI_GLITCH
Hemachander A,1,2026-06-01 11:10:49,pls check pc view total struck very very worst app why this lag I can't expect point not correctly update,CHARTING_UI_GLITCH
Sri Ram,1,2026-06-01 09:44:19,worst brokerage app.no proper charts update.Earlier UI is excellent now you come up with unwanted features and mess up all stuff.Definitely it looses it's era in future days.,CHARTING_UI_GLITCH
mani kandan,1,2026-05-31 18:55:58,This is not user friendly UI . very difficult to understand buying stock and INd money app more easy to find and buy stocks and mutual fund also,GENERAL_INQUIRY
Raju Bain,1,2026-05-30 23:16:03,"I initiated a withdrawal of 424 on the 26th, which has not yet been credited to my bank account. I would like to know: where did the money go?bohut e slow app.",LEDGER_DISPUTE
Tushar Methiya,1,2026-05-30 19:44:29,Due to technical glitch from Zerodha I have not got allotment in OFS and very bad customer support.,EXECUTION_SLIPPAGE
chirag solanki,1,2026-05-30 06:18:34,"Hi team, better optional app are available then your app, request to grow up need lots of changes required, otherwise public have good sense of humor, keep in your mind this review, because time is change, app has only 10% positive and 90% nagative, Please Add 90% feature require to grow up",GENERAL_INQUIRY
Mukesh Singh,1,2026-05-29 22:36:14,"I am full time Trader , I have recommended more than 500 new User , But right now i am phasing serious problem,I suggest my followers to switch Fyers Trader for much better than Experience than Zerodha OWNER KO BHEJO YE POST are post kyo nahi karne de rahe ho Customer service is misusing",GENERAL_INQUIRY
Sunny Yadav,1,2026-05-29 13:08:24,"I have noticed a few issues with order execution on Kite. In one case, I placed a buy order with a limit price of ₹155.20 and a trigger price of ₹155.30, but the order was executed when the price was around ₹155.00. This was unexpected and needs clarification.Similarly, I placed a stop-loss at ₹140.00, but it was triggered when the price was around ₹140.20. This behavior can be confusing for traders.I request the Kite team to improve transparency around order execution.",EXECUTION_SLIPPAGE
rakesh,1,2026-05-29 13:08:17,app is struck..not refresh stock price.. worst experience,CHARTING_UI_GLITCH
Prassnna Hegade,1,2026-05-29 12:29:13,I am fed up with this. Always crashes and most of the time it's down. It feels like a fraud illegal app than the proper trading/investment platform. If there was an easy to transfer the shares from this I would love to move to Dhan or Groww. This is a third rated useless app.,SYSTEM_STABILITY
Postman Talkies Bengali,1,2026-05-29 12:19:20,widget doesnt work .useless widget. i am facing issue in my samsung phone. kindly check to reflect the profit and loss in my samsung phone kite app widget. Grow widget is working fine.so please check and fix the issue asap.thank u in advance.,CHARTING_UI_GLITCH
Pradip gochar,1,2026-05-29 11:57:44,chart par level marke karne ke baad dubara or lagana hoto nahi lagte hai pahle wale hatane padte hai ye problem pahle wale version nahi aati thi,CHARTING_UI_GLITCH
Pape Rtrdr,1,2026-05-27 14:45:52,This will remain at 1 star till the time I don't see and RSI or drawings based alert. 4 years!,CHARTING_UI_GLITCH
NIKHIL GUPTA,1,2026-05-26 19:05:01,instant withdrawal option of amount is not working...zerodha intentionally not allowing the withdrawal of the amount instantly and interface is also now poor in context of working and execution,LEDGER_DISPUTE
Ronit Kumar,1,2026-05-26 15:21:55,worst experience . unable to eneable or active 2factor.,LOGIN_AND_2FA_ISSUE
Raj Kumar,1,2026-05-26 12:06:19,"I can't able to add money zerodha to axis app via upi, if I try means invalid intent data like pop up showing, please fix it.",LEDGER_DISPUTE
Sathya Moorthy,1,2026-05-26 06:04:00,"From 2020 I am using this app. struggling a lot to correct my nomini name, not able to pledge my shares to NBFC, Repeated attempts tried .No response, dead end. l am shifting my platform. Horrible experience as a HNI and senior citizen.",EXECUTION_SLIPPAGE
Armandeep Singh,1,2026-05-26 03:24:56,"i buy one tata steel stock at 205 rupees and sell at 209 . then i sell stock . but when check my wallet only recieve 104 rupees . they take 105 rupees of charges . i come here to trade ,learn, slighty earn but i lost my 50% money instead of gain due to their chharges .",EXECUTION_SLIPPAGE
RAVI SOREN,1,2026-05-25 13:53:06,IQ Chart is the Worst Trading chart I have ever used in my Life.... Why Zerodha Use Iq Chart I don't understand.... 1. It lags Serious Lags 2. No Smoothness hangs alot 3. No Trade on Chart Features 4. Confused and Dillusioned UI.. 5. Pathetic out dated,CHARTING_UI_GLITCH
shubham,1,2026-05-23 02:47:15,bogus app for commodities trading no seprate section. it's owner is not interested in making apps user friendly.,CHARTING_UI_GLITCH
Nasir Maryam,1,2026-05-22 15:43:57,SL or Traget ek sath nhi laga sakte. or jis bhi rate mei SL lagate hai use rate se kam mei aksar share sell hota hai or extra loss hojata hai.,EXECUTION_SLIPPAGE
Anil,1,2026-05-21 18:44:58,I have been using this app since 2022 but I noticed when I change to different timeframe to analyse the stock the app hangs and I have to wait or have to again change the different timeframe other than I wanted to see.,CHARTING_UI_GLITCH
Arun Birla,1,2026-05-21 14:39:27,worst experience... gliches while executing position and not showing running position,EXECUTION_SLIPPAGE
Raju Kar,1,2026-05-20 12:18:41,secondary to primary security tranfer not happening.i have raise a complain multiple times.they close the ticket without investigation.very bad.,LEDGER_DISPUTE
Ujjawal Taleja,1,2026-05-20 09:23:11,worst app fraud they let me buy bse shares but when I wanted to sell they were like BSE is deactivated for you do rekyc then we will allow you what the hack is this now I have to wait 2 days to sell my share at loss,KYC_ONBOARDING_EFFICIENCY
sandeep mahajan,1,2026-05-18 17:27:07,Unable to create profile and use NPS . Tried multiple times .Pl help,KYC_ONBOARDING_EFFICIENCY
VR STOCKS,1,2026-05-17 23:39:38,They are fraudsters and avoid them and never use their MTF facility. They sell our shares anytime without our consent.,EXECUTION_SLIPPAGE
Harsh Gupta,1,2026-05-15 11:03:10,"I have put a stop loss order but it does not get executed properly, price goes past it but trade is not getting executed. Earlier it used to get executed. I am keeping trigger price and actual price as same. Please fix this.",EXECUTION_SLIPPAGE
Charles Rodrigues,1,2026-05-14 15:30:26,"There is an issue when one tries to enter stoploss. When i tap in the stoploss edit box, the numeric keyboard pops up and covers/overlaps the edit box completely! Please scroll the edit box in visible area of screen after keyboard pops up. i had posted this issue last year in september 2025, but it is not yet fixed!",CHARTING_UI_GLITCH
Hello World,1,2026-05-13 22:24:22,Pathetic Service. Trying to Redeem my mutual fund. Your app bank account is not found. Raised a ticket a week ago. Without Resolution. Your team has closed the ticket.,LEDGER_DISPUTE
Tushar Nimbark,1,2026-05-13 15:34:09,"Not working properly application,price hang in F &O",EXECUTION_SLIPPAGE
Mahesh Vhatkar,1,2026-05-13 12:50:44,"Scam broker .. you can forget your money by investing here, They will keep doing algo trading against your positions till your investment turns ZERO..Dha.. DON'T TRUST THEM",EXECUTION_SLIPPAGE
Alok Patel,1,2026-05-13 08:11:52,very bad I withdraw money from zerodha but did not get in my account and customer care didn't help me so I closed my account.,LEDGER_DISPUTE
Darvinder Kumar,1,2026-05-12 23:28:43,Don't know why and how the app has been designed. At least some features of Dhan and other such apps to be copies for simply trailing SL and TP instead of placing orders everytime. Moreover the app hangs off while switching multi timeframes. Always needs to restart the application for using the said feature. Also a feature of how much amount for option being used and how much profit you will get could be more simplified and should be made more user friendly instead of hiding the breakdownstring.,CHARTING_UI_GLITCH
Hajiya Nisar,1,2026-05-12 21:50:13,is update me chart save nahi ho raha kuch draw spot resistance draw karne ke baad save kyu nahi ho raha,CHARTING_UI_GLITCH
Kalpesh Thacker,1,2026-05-12 18:08:58,the customer support from zerodha when you want to close the account is really frustrating. after 15 + days of submitting the application you just a message saying that application is rejected. there are no options to raise a service request and status tracking options for individual investors.,GENERAL_INQUIRY
Pankaj Singh,1,2026-05-12 15:34:01,Loads slowly. Very bad KYC process. your fund will be stuck.,KYC_ONBOARDING_EFFICIENCY
PRABHAT PRAJAPATI,1,2026-05-12 10:48:51,I Used to use Zerodha for Long Time ago but zerodha is not upgrading its features with time like on screen Gainer looser Most bought stocks FII DII data. Very disappointed that how a giant broker popularity decreasing day by day,GENERAL_INQUIRY
Akash Chaudhari,1,2026-05-12 08:24:30,Ye kya zoom in zoom out bana ke rkha Diya hai na toh dhang se dekh pa rhe hai 1D timeframe pe na kuch dikh rha hai na 5 minutes dikh rha hai bara bar thik kardo old version hi badiya hai,CHARTING_UI_GLITCH
Akash Singh,1,2026-05-11 16:19:52,"Zerodha is not good for small Traders , zerodha shares stop loss details with market operators in a passive method.. to force you out of the trade..",EXECUTION_SLIPPAGE
abhinav singh,1,2026-05-11 14:19:53,"providing wrong information, as on 12-05-2026, Showing PE of TMPV share1.54 only , but it's PE is more than 20. since the split of Tata Motors shares showing same data and I was heavily investing just seeing of such low PE. but today I come to know that zerodha provide wrong fundamentals.",CHARTING_UI_GLITCH
Vishal Grover,1,2026-05-09 08:14:03,I wonder if Zerodha design team actually do any user testing before rolling out random UI-UX changes with no option to go back to previous version of the app. The last version of the app was clean and had the desired user interface and just as I logged in today morning to check some price chart I see everything has changed and replaced with really confusing & useless options. A user friendly clean version has been replaced with a junk version that some designer created without any user feedback,GENERAL_INQUIRY
Ishaan Gupta,1,2026-05-08 14:56:20,This is the most horrible app or broker for trading. This platform is actually not for traders. Its for those in which people just invest and don't use application for years.,GENERAL_INQUIRY
Yugandhar Yuga,1,2026-05-08 10:48:12,soo many times I tried to login but not open this app. verification is not easy it's very irritating. that's why I skip this app. present using angle one and dhan apps. this 2 app very easy log in within few minutes,LOGIN_AND_2FA_ISSUE
S swar,1,2026-05-07 15:27:19,Exit button is the biggest flaw and it sucks whenever you need quick exit,CHARTING_UI_GLITCH
Babulal Chadhar,1,2026-05-07 13:02:19,hamare account mein - 900 Ho Gaye kyon ho rahe hain,LEDGER_DISPUTE
Mohit Manwani,1,2026-05-06 15:48:20,worst app ever. from today onwards I will never trade in kite.,GENERAL_INQUIRY
Shubham Mundada,1,2026-05-05 23:13:46,The chart does not load the last saved chart setup. Everytime you have to redo the charts.,CHARTING_UI_GLITCH
Roshan Jogi,1,2026-05-05 22:08:25,"Very bad experience I tried to sign up in the app, I also paid that 1rs fee also but when I tried to login it is asking me again to sign up once again",KYC_ONBOARDING_EFFICIENCY
Anshul Aggarwal,1,2026-05-05 21:36:37,in dark theme stock name is not visible in the charts,CHARTING_UI_GLITCH
santosh kumar,1,2026-05-05 17:43:07,"Option given for trading view but useless, always freez. Other apps are modifying itself but it is not improving. No risk reward option giving for traders but when use trading view then it's always freez.You should use your boring app and compared to other app that how is other apps are different as per current time",CHARTING_UI_GLITCH
Shikhar Samratz,1,2026-05-05 15:22:12,The app is automatically uninstall from the mobile again and again. Not solved yet.,SYSTEM_STABILITY
Aman Pal Singh,1,2026-05-04 17:31:36,"trades get hanged, twice had loss in MCX because trades were not moving!!! no one answers phone over customer care !!!",EXECUTION_SLIPPAGE
Guru Prasad,1,2026-05-04 10:32:24,everyone alert plz this platform not safe so plz don't use this platform...,GENERAL_INQUIRY
Arindam Mondal,1,2026-05-03 10:24:16,Third class app and their third class service.I had some need of money and selected the instant withdrawl option 2days before but till now the amount is not credited.They are into acquiring more and more business but not clients service.Very bad experience.,LEDGER_DISPUTE
Priyanshi Singh,1,2026-05-02 13:30:46,"too many hidden charges I just invested in app n leave it for future, my balance is already -600 worst app I have ever seen. go for 5 paisa there is no hidden charges",LEDGER_DISPUTE
Pubg Gaming with Aary,1,2026-05-02 00:45:02,Bhai yar apna dhandha din rat 24 ghnte sb time me start rkha kro Muje ghr bnana hai paise kmake,EXECUTION_SLIPPAGE
Vikrant Gaurav (ALLin1),1,2026-05-01 20:06:13,"Dear Team, I’m raising a serious issue regarding discrepancies after transferring shares from my secondary to primary demat account (FY 2026–27). My lowest-cost shares are altered, bonus shares (zero cost) missing, and average price recalculated incorrectly, causing mismatch in FY 2025–26 Tax P&L. Please urgently correct cost basis, restore bonus shares, reinstate original values, and fix Tax P&L. Regards, Vikrant Gaurav",LEDGER_DISPUTE
Rajat Kanu,1,2026-05-01 17:44:31,why there is no One click stocks switch mode in landscape mode only this is available when screen is on portrait mode,CHARTING_UI_GLITCH
Rashid Khan,1,2026-05-01 13:50:45,Placing Zerodha GTT order in Option Buying or Selling is so complicated It Should be simple Selected Limit or Market Price SL & Target Price SIMPLE What's this enter Trigger price ? Then Bla bla price should not be more or less then Bla Bla price (Till you place order price goes out of hand) :( Make it simple,CHARTING_UI_GLITCH
BDJS,1,2026-04-30 23:07:18,"no Limit stoploss Buy order in Zerodha, the greatest drawback.",EXECUTION_SLIPPAGE
Rupesh Tated,1,2026-04-30 20:38:49,chart me time frame bar stuck ho jata hai... up down nahi hota... pura log out hone k baad again start karo tab h kaam karta..thoda der thik rahta fir stuck ho raha hai... indicator setting option b gayab ho jaa raha hai...pls fix this problem.. very frustrated...,CHARTING_UI_GLITCH
Raj R,1,2026-04-29 16:24:38,"I didn't like the app and funds are not showing properly even in the View statement section , this evening if I see some amount in my account and check it on the next day morning you would see some little amount deducted...something wrong going",LEDGER_DISPUTE
shiva burgula,1,2026-04-29 09:15:22,withdrawal very very very slow angle vs zerodha app zerodha very very veryslow withdrawal angle one the best withdrawal,LEDGER_DISPUTE
SUMIT KUMAR,1,2026-04-28 21:34:27,"chart zoom in and zoom out not working properly, in default mode",CHARTING_UI_GLITCH
Pooja Barai,1,2026-04-28 16:30:08,So disgusting and irritating user interface. Please try to make it simple and user friendly.,GENERAL_INQUIRY
Jignesh Sisodiya,1,2026-04-28 12:42:07,"Zerodha was one of the best websites for trading. but after recently changed the website and application update, now it's horrible to work on that. good things they have made complicated things. why I don't. but now I will do closer of my zerodha account and also I have many complaints but not resolved any thing. no service, not user friendly website and poor updates. Not recommended now a days. in market many top user friendly application are there. I will go through that.",GENERAL_INQUIRY
manish gallery,1,2026-04-27 08:47:40,I can not take a trade at time of it show all zero. if today it will not be solve will quit this app and will go towards others,EXECUTION_SLIPPAGE
CA Nitin Agrawal,1,2026-04-26 23:34:49,"Zerodha Kite App has serious issue. It doesn't display the ""Bid and Ask price in the watch list"". The user has to tab inside again & again to see the bid & ask price and unable to get the clear market momentum. Seems it was intentionally not done & keep investor busy in searching and the market gone away. Other App are much user and earning friendly then Kite.",CHARTING_UI_GLITCH
Abhishek Goel,1,2026-04-26 14:36:26,"worst app. I could not withdraw my money, and intentionally, they failed from their end even after strong internet connection.",LEDGER_DISPUTE
Shah foundation,1,2026-04-24 01:14:27,please update app with new best interface application boring interface app running,GENERAL_INQUIRY
Chetan Joshi,1,2026-04-23 22:22:14,"unable to login app, issue with biometric lock, other app and device login is working fine with fingerprint. same issue persists again",LOGIN_AND_2FA_ISSUE
Shikha Pareta,1,2026-04-23 11:51:58,"There is a huge bug in your apps Whatever exit price you opt for ,doesn't matter its always exiting in the current price immediately. From past 2 days im facing this issue.Fix it asap.",EXECUTION_SLIPPAGE
Ninad Waman,1,2026-04-23 09:52:45,keeps crashing on a volatile day. seems to be in cohoots against retailers. it's crashed over 10 times in about half an hour,SYSTEM_STABILITY
Sumit Sharma,1,2026-04-23 00:22:10,"Very poor service, customer care executive does not know how to talk to people.",GENERAL_INQUIRY
Rahul Chadokar,1,2026-04-23 00:08:05,"Hello Dear developer and entire zerodha team I have suggestion for all of you about Kite app:- 1) I used Groww app previously and now using kite , bcoz groww charges very high charges in comparion with Zerodha . 2) But when I started using kite app i feel the user interface is not very good. 3) I request to Zerodha pls see the Groww interface and simplicity in the app. 4) groww provides basic chart , gives less information about stock but the user interface is like a whatsapp kind of easy.",GENERAL_INQUIRY
G.S.Rao,1,2026-04-22 23:15:27,"In this app, purely manipulating by the broker. trader loose money surely 99%",GENERAL_INQUIRY
V S Sonawane,1,2026-04-22 18:06:42,I am using Kite for last 5 years+ but since past 3 months I am finding my Portfolio holding and Console holdings is having issue of buy average and buy value. Sometimes displays for stocks are not visible for buy value and average value. Matter was escalated to all levels in Zerodha through mail but there is no reply from anyone. Instead issue diverted to support team. Since support team was unable to resolve issue in stipulated period it was escalated to higher level but is still unresolved.,CHARTING_UI_GLITCH
Neeraj Sharma,1,2026-04-22 15:17:04,"Give a single star rating due to ""To fix the discrepancy, you should add manual trades here with matching quantities. Trades added cannot be edited/deleted once the price is updated."" why should I do it? why did this happen?? why you think user is IT master degree holder?",SYSTEM_STABILITY
Shaan Nawaaz (Official),1,2026-04-21 21:09:36,"thanks to selfish youtuber - Ankur Warikoo for wasting my money in zerodha, each and every platform is free but Zerodha is only application who charges the money as annual charges. very nice such a loot going on peak, even the user is not active or whatever the issue they charged to them. That's the reason I gave 1 star. if there is option to give half star I will give it to Zerodha as per their services. not worth it deal only looting system. shame on Zerodha founder",GENERAL_INQUIRY
Amit A Jain,1,2026-04-21 00:56:55,"worst experience with Zerodha, opening a new account is a painful nightmare. application submitted on 2 April, still waiting for account activation on 20 April.... waiting for activation...... waiting.... waitin... waiti.. wait.. wai.. wa..",KYC_ONBOARDING_EFFICIENCY
praful mohariya,1,2026-04-20 18:56:05,I have been facing problem while executing trade.It has been taking much time to execute trade such that I am unable to entry or exit at desired position.Kindly solve this issue immediately,EXECUTION_SLIPPAGE
Patel Goswami,1,2026-04-20 15:37:03,"Ayurvedic cheapest Desi Application, All other heavy applications are running fine. Even high-quality videos on YouTube are running fine. But this app doesn't work even with good internet.... CHEAPER.....",SYSTEM_STABILITY
Shrikant v,1,2026-04-20 12:37:49,"very bad app, same candle showing different values in zerodha chart (zerodha chartIQ & zerodha Tradingview)",CHARTING_UI_GLITCH
sita ram pandey,1,2026-04-20 11:12:51,"ज़ेरोधा ट्रेडिंग ऐप पर थोड़ा सोच समझकर ट्रेडिंग करें। इनका हर सिस्टम सिर्फ पब्लिक को मुर्ख बनता है। 5 साल इस्तमाल करने के बाद, मैं आज इस प्लेटफॉर्म को छोड़ रहा हूं, सिस्टम का शिकार बनकर,",GENERAL_INQUIRY
Ashutosh Pal,1,2026-04-20 09:39:02,AMC charge hone ke baad bhi Issey bekar app nahi dekha maine..... Maine Paise add kar raha hu par wo bhi nahi ho pa rahe hai.... usme bhi error aa raha hai.....,LEDGER_DISPUTE
Kunal Kumar,1,2026-04-20 09:36:29,This is the worst company I have ever traded . Even their customer service didn't pick the call or they cut the call . Whose should we complain about I don't know. Switching for best company.,GENERAL_INQUIRY
Chandu,1,2026-04-19 22:47:58,"when I try to draw Trend lines, the chart is freezing and it's not sliding, worst app",CHARTING_UI_GLITCH
Muhammad Rizwan Ali,1,2026-04-18 18:41:19,vwap indicator is not working Nifty & sensex charts I am very disappointed 😞,CHARTING_UI_GLITCH
Uday,1,2026-04-18 16:02:28,don't use this app because quarterly maintains charges will be there in this app,LEDGER_DISPUTE
Navneet Sharma,1,2026-04-18 14:22:46,pathetic experience. Legacy platform and exceptionally high quarterly AMC charges along with Late payment charges and other issues,LEDGER_DISPUTE
RAVINDER SINGH,1,2026-04-18 07:57:04,now time Ai but zerodha is old version now not update sahi angel one upstox very bad software a lot of clint left this platform 😔,GENERAL_INQUIRY
Gaurav Kandpal,1,2026-04-17 19:39:55,TIJORI is not good. Earlier you had tie up with tickettape and it gave updates data but seems like tijori is giving wrong information and it's not updating financials timely in zerodha app fundamentals.,CHARTING_UI_GLITCH
Suresh,1,2026-04-17 12:39:54,In Tablet Landscap viewv watchlist shows very small like mobile phone size then what is the use of tablet big screen. Check the watch list in tablet in landscape mode so you can find the problem,CHARTING_UI_GLITCH
Carmen,1,2026-04-16 20:54:53,"I had some trouble signing up. I'm having issues at different points, and the One-Time Password (OTP) I put in keeps getting marked as wrong, even when I know it's right. Plus, after paying with UPI, I'm not getting sent back to finish signing up. Because of all these problems, I'm just gonna use a different app.",LOGIN_AND_2FA_ISSUE
vishal babbar,1,2026-04-16 10:08:33,can't open the app in first time .. always get an error sync exchange instrument,CHARTING_UI_GLITCH
Shafi Uz Zaman,1,2026-04-15 22:55:18,For Intraday or Option traders drag and drop features would do wonders for target and SL.. Zerodha has failed miserably in that.....,EXECUTION_SLIPPAGE
Manoj M,1,2026-04-15 21:02:25,"The best worst app which has everything other than the required. Nothing changed even on giving feedback multiple times. waste fellows. how many times I spoke and replied on the support portal, calls, email etc..waste of time.",GENERAL_INQUIRY
chandu kommuru,1,2026-04-15 08:28:27,"worst app ever I used, they will setup all your money in the form of charges. Unreliable transactions, customer service they don't respond. I dont recommend to use this app",GENERAL_INQUIRY
parveen kumar,1,2026-04-14 17:30:10,"The Kite platform's current performance is unacceptable. Applying any indicator causes the chart to freeze, requiring a full app restart. This technical instability is hindering my ability to operate on the platform.",CHARTING_UI_GLITCH
Jeet Singh,1,2026-04-14 17:04:03,Zerodha should have a feature to display the Nifty 50 premium profit and loss on the Nifty chart. We need to see our premium profit and loss on the index chart. When will you update this?,GENERAL_INQUIRY
Sarat Das,1,2026-04-14 12:48:14,"there is no facility to place entry,target and stop loos at a time for option trading like dhan app",EXECUTION_SLIPPAGE
Jaswant Singh,1,2026-04-13 22:17:22,now a days... very very pathetic application behaviour no chart opening in Mobile application its stuck lots of time not showings index or particular stock chart and indicator stuck while using different different time frame.....now a days m avoiding to using my favorite demat account ...... nothing is good now on zerodha platforms....,CHARTING_UI_GLITCH
Vishal Sahani,1,2026-04-13 11:26:12,zerosha making fool to us by charging AMC on their own secondary account.,LEDGER_DISPUTE
R Kawarkhe,1,2026-04-13 10:32:10,"Zerodha team, High-risk products (जैसे F&O,short share ,etc) में buy/sell करते समय MPIN verification mandatory करना चाहिए। इससे accidental trades avoid होंगे और user safety बढ़ेगी। कृपया इस feature को consider करें।",GENERAL_INQUIRY
Ambuj Bhatnagar,1,2026-04-13 09:07:51,takes decades to withdraw money into bank account.. will not be using it anymore,LEDGER_DISPUTE
chandan chakraborty,1,2026-04-12 12:14:26,in the name of security the zerodha has too much hard entry system which really bothering for new users. safely issues should be managed by authorities. but as I am new one it need many entry systems that Puzzling so much. so upstox better,GENERAL_INQUIRY
Divyanshu Singh,1,2026-04-11 13:22:50,"Worst app, always deducting money more than actual charges on every transaction.",LEDGER_DISPUTE
